listing_id,listing_name,host_id,host_name
353292,Mid-Century Modern Flat - Lollyway Pad,1789683,Thomas
371595,"Private Garden Room- Near UCSF, Sutter Heath & DT",165574,Jonathan
379349,Best location in San Francisco,1901233,Miriam
394575,Grand and Cozy 1920's SF Studio,1190192,Michael
410762,private room in large appartment,1964252,Inna
415498,Prime Location - Studio Apartment,216682,Jay
423300,"Wild Garden unit  (coders' paradise, 1000 sq .ft.)",1776403,Natallia
424846,San Francisco Pied-à-terre,2112291,Martha
431862,Penthouse Studio w BBQ and Rooftop Deck!,1257432,San Francisco Life
437385,"Tranquil Queen Suite/Private Bath, Coastal Access",2172763,Melanie
438940,Classic Room in the Heart of The Castro,1841207,Craig
438967,Big Sunny Room in The Heart of The Castro,1841207,Craig
442349,Right in the middle living,2198022,Judith
442397,OceanBeach 2bdrm2Bath FreeParking!,2198311,Marianne
455783,Queen Size Bed in Private Room with Loft at Beach,1421509,Matthew
465723,Charming suite in West Portal area,305557,Sheila
467507,Gorgeous Bernal Heights Studio Apartment,2320888,Jennifer
468490,Penthouse Panoramic View Home with Decks,285168,Bill
474107,Two cozy rooms in an SF Edwardian home!,2318089,Inés
479049,Victorian Studio near Dolores Park,2372714,Ramona Alexandra
487019,Stunning Bright 3 br/2ba in Potrero Hill,2410550,Cecile
487499,Mission District - Perfect Location,1682183,Daniel
493889,Spacious 1brm w/ breathtaking view,2439917,Germaine
494111,Comfortable space of your own in SF,252927,Vivian
504146,★ Iconic Marina Waterfront ★ Walk/Bike Score 94+,2486135,Laura
519796,Lrg Sunny Flat/1 Blk fr Lombard St,2019559,Suzette
522273,Amazing Private Room w/View in Beautiful SF Flat,2568946,Kymberli
531151,Sunny 4-Bedroom Family Home Central SF Location,2608908,Jennifer
537133,Lovely unit with decks. Near restaurants & shops.,127367,Michelle
545685,"Garden Suite by Golden Gate Park, Private Bathrm",2676602,Linda
555596,Charming Noe Valley Garden Oasis,1772044,Judy
561148,"Great Family Home, Quiet Street, Close to GG Park",2758480,Steve
561602,"Great view in the Mission, 15 mins by bus downtown",2760904,Matthew
568161,Comfortable Room in Glen Park (SF),2795397,Beth
571042,SF Amazing Views Award-Winning Design,1550529,Shannon
571142,Top Rated San Francisco Airbnb! Sunny & Good Vibes,2072534,Adam
578097,2-Bed 2-Bath Lower Haight Apt with Deck!,560790,Karen
585326,"Cozy Suite by Golden Gate Park, Private Bathrm",2676602,Linda
589767,Beautiful Nob Hill Apartment with Perfect Location,1692184,Joseph Edward
591431,Victorian home in the  ❤️ of The Mission,727246,Erika
592883,Quiet bedroom with private bathroom,1776403,Natallia
593253,Lower Haight Victorian room,2929255,Trevor
602535,Charming Victorian in Vibrant Noe Valley,2981490,Sabra
604221,Sun filled 2BR WFH Haven (800Mbps w backup modem),2991110,Wenguang
607500,Newly Renovated - San Francisco in Style,1805856,Adam Mitchell
626349,Sunny Modern Luxury Condo!,2528117,Sean
632303,Artful SF Apt | Steps to Trails,12235061,Saba
633629,Room(s) with Private Sitting Area,3151325,Andrea
642672,Gorgeous 1BR - heart of Noe Valley,611216,Yasaman
646275,San Francisco Living Like A Local,1094388,Lynnore
648086,Private room and Private bath.,3250518,Parmjit Singh
654279,Quiet Room in Our Friendly Home,3289160,Christopher
663623,Grand victorian flat in mission SF,119920,Gwen
664307,Private Room: Escape to the Mission,3355966,Geoff
664315,Home in the Heart of the Mission,3355966,Geoff
671513,Sunny San Francisco Spot near Golden Gate Park!,2072534,Adam
678556,Cheerful Private Garden Studio,3453060,Lorraine
690872,Pacific Hts Designer Home,1142106,Mary
691023,Modern and Serene House on Dolores Park,3531780,Mickey
715543,Marie's sunny spacious Mission loft,3676663,Catherine Marie
719431,Safe area. Metro 12 mins to d'town. Park/EV charge,783438,Philip
720811,Private Apartment w/garden access in the Richmond,93873,Ronald Mark
727866,SF Ocean Beach In-law Studio,1743076,Esther
727969,Spacious 1 Bedroom with Garden in Sunny Noe,3729230,Yuying
728585,Clipper Street Cottage,3780377,Douglas
728884,Spacious 2BR in Noe with Parking,3729230,Yuying
734801,"Luxurious, modern, beautiful A+view",3832375,Basia
734839,Relax in a Charming Edwardian Flat in Russian Hill,3832802,Kenji
738547,Spectacular Bay View Russian Hill,3860047,Robert
745957,Micro-Private Single,576273,Darren
747167,Micro-Private Double,576273,Darren
752607,Mission Dolores Charmer Foodie Paradise 3bd/1bath,3958328,Leanne
754117,Amazing Flat in Haight Ashbury,3967658,Ryan
767506,Spacious Gem to Entertain or Relax,3807182,Jennifer
769734,Spacious Room in Carriage house,4060777,Annie
774323,PrivateBath.    Hike/Bike/TransitScore97,4085271,Janet
781945,Huge Condo in the best Location,4124339,Tanmay
783821,"Exquisite Castro Jewel box, Laundry, Parking",137980,Jack
795254,Attic Master Suite with Kitchenette,4189517,Jane
806199,"Sunny, artistic loft retreat – South Beach",757108,Chantal
810315,Private Room With Best Location In city,1504399,Skt Teo
815183,Country in the City... (30-day min),4282539,Lily
818395,Best spot-happening lower haight,3895812,Fakhry
819863,"Absolutely Private, Wi Fi, Laundry, Public Parking",4306242,Polina S
829185,Gorgeously Renovated Coastal Victorian Home,4346130,Shannon
830576,Sunny Pac Heights Studio w BAY VIEW,2350141,Eric
837045,Kid friendly apt near Duboce Park,4374318,Jolie
838660,"Modern Luxury 1BR Near FiDi, #9",9965793,The Twist
856123,Private Suite in a Stunning Vegan Penthouse,16382,Mark
859336,Cozy & quiet room in bright apartment,4499134,Anka
867499,Gorgeously Renovated Coastal Victorian Share,4346130,Shannon
878935,"2BR: Clean, cozy, family friendly spot next to GGP",4645827,Ashley
884770,"Steps from Cable Car, amazing Russian Hill Retreat",4687340,Sandra
890875,"Sunny, modern apt in Lower Haight",4374318,Jolie
895381,Hayes Valley 1 BR with Private Deck,1257432,San Francisco Life
900393,Comfortable Potrero Hill 2 BDR Home,4808354,Irene
900941,Stunning apartment with roof deck!,914858,Juan
905399,The Mission Room in 1906 SF Victorian,4843181,Nancy
918341,Potrero Hill Garden Getaway,145258,Kepa
931313,Central apartment - Market Street with parking,38836,Bernat
934012,One block from Golden Gate Park!,5037105,David
943851,"Victorian Mission Flat w/ views, storage & parking",736969,Daria
945748,Interior Designed SF Gem/great - safe neighborhood,5124146,Toni
950094,Knockout Panoramic View Suite,5153588,Gaylene
961900,Spacious Modern Loft in SOMA with Garage Parking,5238718,Daniela
968037,One BR in NB with Sweeping Bay View,2548643,Thomas
980783,Potrero Hill Retreat,5371124,Katie
982298,"The Surf Shack - 6 beds, hot tub",5380962,George
997382,Haight Ashbury Experience Room 5,1032643,Joshua Martin
998701,Private Room in Ocean Beach Cottage,5488987,Martha
1001759,Spacious sunny room in the Castro,3379945,Elena
1005642,Walk + Bike + Transit Score 97!,4085271,Janet
1016604,Entire 3br Beautiful Edwardian Home near GG Park,58930,David
1018426,"SHARE Spacious Loft: Moscone, Ball Park & Downtown",1165164,Morgan
1036860,2bed-rm Suites at Fisherman's Wharf,5708168,Kowang
1037251,Cozy & Convenient easy fwy Access,698337,Emily Joy
1038324,Awesome Mission spot for travelers,5716115,Shirin
1053666,Modern Mission Studio with Private Entrance,1572034,Neil
1059961,KelSoMa 1 Bed & Bath in SoMa,1427845,Laura
1067031,Spacious 3BR/2BA home with easy parking,5870776,Nancy
1074231,Victorian Living in San Francisco,5909809,Purvi
1084068,Modern Sanctuary Abundance of Light,5960567,Karina
1087427,Private furnished Rm near UCSF/22nd Ave in Sunset,5977346,Melissa
1087433,Masterbedrm w/ own Bath near Ucsf in Sunset 22ndAv,5977346,Melissa
1094764,San Francisco Presidio Paradise!,172460,Leila
1098003,"Lovely, Unique Home Near Everything",6034365,Nicholas
1103797,Remodeled Victorian Flat w/ Garden,6062220,Luke
1104912,"Sunny SF apt near Golden Gate Park, Beaches",6068306,Chani
1121697,Gorgeous Full-Floor Victorian Flat,1126796,E J
1126365,Sunny Art Filled Victorian w/ Garage,6179329,Dorka
1138542,Great home in San Francisco,4229195,Darragh
1141986,Lovely SF Studio & Location,5960567,Karina
1148370,"Convenient, Spacious, eateries ➕Parks & Ocean👌",6295555,Shanon
1151237,Sunny Modern Victorian Great San Fran Location,6309875,Rebecca
1159284,"Telegraph Hill penthouse. Decks, views, parking.",5548292,Shaun
1163946,2 bedroom in the heart of the Mission,1918239,Jen
1174701,"Donatello, Union Square, Location! 4*",6429436,Janette
1178260,Charming North Beach Alley Hideaway,6446722,John
1195173,Nob HillWalking Distance to Downtown,6531356,Jennifer
1195374,Stylish Condo in Desirable Mission Dolores,5024596,Megan
1198464,Fabulous Blue Bright/OCEAN VIEW+clean+Park+3 Bath,5565510,Silvana
1200068,"Private, quiet BR - Upscale Home",6555530,Phyllis
1201159,Modern Studio +View in SOMA!,6561127,Omid
1202686,"2Bed ""COZY CENTRAL""- quiet, priv yard, nr Valencia",4152942,Clare
1209738,Cozy Private One Bedroom with Kitchen,11115,Lucy
1212513,Two Private Bedrooms & Bath-Sleep Four-Central SF,1237762,Myles
1212746,"Large 3BR SF Home! Families, Friends or Colleagues",1237762,Myles
1212822,"""Designer  Showplace  Home""  in the Marina",1700823,Jennifer
1223704,Quiet & Secure Townhouse in Yerba Buena (SoMa),1588519,Matthew
1225969,Million dollar Bay View home,417666,Vera
1229606,SOMA Hideaway- Corporate Stays,5215262,John
1237143,Charming Russian Hill Flat,6745542,Susanna
1245838,Fantastic Family Home with Beautiful Backyard,6789170,Nicole
1267206,The Taupe Room & Santa Marie in SF,6081814,Nancy
1276953,"Central, light-filled top flat on quiet street",799436,David
1277771,Home Away From Home,6954280,Jonathan
1291092,Gorgeous Marina Home near the Golden Gate Bridge,3080489,Beth
1292217,SF Victorian Penthouse - Amazing Views,5864730,Jan
1299759,Bright NOPA One Bedroom w/ Garden Access,6225200,Myrna
1309496,Meticulous Grand Edwardian Condo near Famous Parks,7118153,Roy
1323983,Castro private room & bath VIEW (no cleaning fee),1753794,Ashish
1328186,Fabulous Castro Victorian,7208147,Eric
1336998,Beautiful room in San Francisco,7250508,Doug
1344243,"Sunny Garden Suite, Perfect Locale",7292289,Robert
1351626,"Upscale home/furnishings, private",6555530,Phyllis
1351783,Private Room #1 and Breakfast Nook,7335923,Allen
1352111,Tranquil Pacific Heights Top Floor Duplex,1678230,Hiu Yu
1388523,Mission Dolores Noe Valley Studio 1 Month Minimum,549522,Steve & Debbie
1392204,Historic View Home Large 2 Bedroom  Suite/ Parking,7526456,Damara
1407881,Secluded Studio in Castro/Mission,1467308,The Cabinets
1408932,Studio on Sunny Side of Bernal - Decklounge Views,7598687,Michael
1409218,"Modern, Large & Luxurious SOMA Loft",5203636,Alexander Michael
1421671,Top-Rated Spotless Studio:Safe-Walkable-Convenient,7630810,Michael
1421774,Charming Private Castro Studio,1513493,Vanick
1421937,Suite with Majestic View in Historic Home/Parking,7526456,Damara
1428465,Modern Noe Valley Mid Century Home,1031942,Rachel
1428553,Sublet cozy sunny room in Castro!,3379945,Elena
1433011,"Location, location! Awesome place  in great area.",4687340,Sandra
1433917,Castro St Location Location Location,4819815,Michael Kent
1434314,Stylish Noe Valley View with Hot Tub & Sauna,883556,Alexander
1434425,"Castro, Large, Sunny, own dedicated bathroom",3227887,David
1439445,1 Bedroom + Office - Superhost Near UCSF Parnassus,165574,Jonathan
1442027,Studio with Gym and Parking,1257432,San Francisco Life
1450899,Master Bedroom: Dolores Park - Nested in the Sun,7183434,John
1456153,The French Victorian House With Bay Views,2059233,Wendy
1460174,Unique Modern Airy Apartment with Contemporary Art,5244284,Julia
1460628,Private studio with a lush garden,7828423,Valeria
1467522,Well Stocked Family Friendly Flat in Heart of NOPA,953461,Nicole And Nate
1470340,Relaxing Garden Apartment in Quiet SF Neighborhood,1393328,Gustav
1471683,Artful Comforts in the Lower Haight,7879719,William
1480015,Vintage Modern Victorian Apartment,7919343,Benjamin
1482730,Bernal Heights 2 BD near 101/280 & Cute Main St,289376,Jennifer
1484149,Safe Russian Hill-Great for Business & Pleasure,7940322,Branka
1484792,"Live Like a San Franciscan in Hayes Valley, with Parking",5192660,Mario
1487849,Holladay Home (w/ parking),1590094,Maury
1494503,Beautiful Classic Victorian with a Modern Touch,7988057,Genevieve
1506702,Spacious & Bright 3BD/1.5BA Cow Hollow Home w/Deck,2228453,Ellen
1510363,Cozy 2 BR  Apt. In The Sunnyside,7303214,Charlesie
1520929,San Francisco Views * Spacious Flat for Fun & Work,8055897,Annekarin
1525137,Modern Edwardian in Pacific Heights,7390100,Dion
1535946,"Single Family Bungalow Great Location, 2 Bdrm 1 Ba",8191087,Robert
1537497,Great Hayes Valley 1 BR (#10),3977854,Michael
1547477,Great Hayes Valley Studio (#4),3977854,Michael
1574848,Amazing Views - Priv Room,4106299,Hina
1575184,"Sunnyside Cinema: King bed + 2 twin, 2 desks, yard",3495261,Miles
1578597,The Skyline Suite (w/ Kitchenette),8390846,Joel
1584021,"Unwind with a BBQ at a Cozy, Stylish Mission Home",339788,Brett
1589228,Newly Modernized Home from Home,8478388,Claire
1605483,"Cozy Blue Room: Haight, Central SF!",1125797,Siobhann
1606292,Great Hayes Valley Studio (#3),3977854,Michael
1614622,Great for Business Travelers - NOPA,2343472,Sal
1623609,Private suite - in vibrant Mission,8633891,Ingrid
1629330,Enjoy luxury condo in San Francisco,4895196,Tomasz
1633173,Private San Francisco Suite,8676376,Herbert
1633225,Room with spectacular Bay views,8676376,Herbert
1633933,"Sunny, Spacious and Modern Loft in Haight Ashbury!",484257,Jean-Michel
1637487,Charming Flat near Dolores Park,2372714,Ramona Alexandra
1641060,West Portal Private Suite!,6869592,Sharon
1645724,Private bed/bath: 5 min to metro,1686240,Grace
1665516,Explore Golden Gate Park from a Sunny Garden Guest Suite,3071180,Adam&Roz
1672055,"❤️Fantastic Luxury Penthouse Apt, Panoramic Views",262875,Paul
1673011,Stunning Home above Dolores Park w/Sweeping Views,8856312,Drew
1673777,Studio Apt in Alamo Square,8860167,William
1687330,Home Away from Home,6954280,Jonathan
1725833,"Sunny Waterfront Condo, South Beach",9095863,Deborah
1725853,"Modern Luxury SanFran Casa Close to GG Park, Beach",9095946,Alex & Lina
1728497,4-Bed Colorful Victorian,100800,Cynthia
1738415,Tranquil Updated Studio in Historic District,3273603,Donna
1750809,"1BR/1BA Nob Hill, Hrdwd Sunny Wifi",5479220,Jane
1752371,"Work & Relax: Large Office, Garden, Washer+Dryer!",9218238,Rico
1752552,Convenient place near GoldenGate Park comfy Rm 5B1,9219277,Henry
1759087,Modern Suite with Private Entrance,9248549,Gerardo
1762727,Sunny Garden Studio in the Castro,237849,Jan
1764449,Queen Size Private Room in Convenient Flat,2014965,Avram
1769688,Private Bath and BR in Bright Sunny NOPA Flat,4297383,Rob
1774026,"Views on Liberty Hill, near BART",7197110,Cedric
1785463,Burgundy: Bright/Clean/OCEAN VIEW+Park+3 baths,5565510,Silvana
1807493,"1bd/1ba Condo in SoMa - Top Floor, comfy queen bed",1359769,Tom
1814061,"Modern, central to everything; Noe Valley pvt flat",820856,Dave
1827638,Stylish 2br/2ba Mission Dolores w private garden,210090,Jared
1830541,Golden Gate Park Retreat,9574679,Leticia
1841832,Beautiful Immaculate Nob Hill Condo,3192044,Aaron Christian
1851403,Sunny 2BR Retreat w/ Deck • Cow Hollow,237691,Regina
1855096,Fabulous Artist Flat in the Heart of Potrero Hill,9011470,Michael Pfeffer
1864390,Fun & Artsy 2 bdrm 2 ba Hayes Valley Hidden Gem,9686057,Kaleen
1868880,Pac Heights Home w/ Parking Steps from Fillmore St,1775917,Scott
1887206,Amazing House on a Sunny Hillside,4027973,Zak
1892360,Bright & Modern Lux 2 Bed North Beach Flat Fidi,8871779,Natalie
1892956,Cozy Room In A Great Neighborhood,9838978,Connie
1898486,"Entire Guest Cottage in Noe Valley (2 BR, 2 Baths)",9861752,Ed
1907229,Curated  Victorian for Business Travelers & Family,2345833,Raj
1914841,Garden Studio Apartment,9932058,John
1925206,"Private Suite, City Views, Garden and Easy Parking",9971829,Joshua
1928125,Sunny Mission Home & Garden Oasis,27439,Linda
1931763,Sunny Room Overlooking Charming Side Street,9999808,Matthew
1956312,"Historical Elegance 2BR Castro-Duboce, CPMC Davies",413290,Lea
1970257,Classic Inner Mission Living in an Historic First-Floor Home,7649665,Susan
1970756,Beautiful 1bedroom condo apartment home,10162964,Shelley
1979461,Walk to the Waterfront from a High-Tech Studio Flat,6744265,Todd
1985338,Soak up the Botanical Vibe at a Garden Studio in Bernal,30250,Nichole
2001534,Wonderful 3 Bedroom house-like garden flat!,10162964,Shelley
2023326,Perfectly Located Luxurious Home,7292289,Robert
2026910,Sweet Edwardian NOPA 3Bd w/Views & Parking,7096906,Bree
2042095,View that can’t be beat (1 Room in Heddy’s House),3198527,Bruce
2046807,Charming Private Studio in Mission District,8898672,Kevin
2049955,"Private, 1-Br Apt near Golden Gate Park",58930,David
2058119,Private room in Dolores Park Apt,10538306,Javi
2062696,Ocean Beach Rm Classic 1906 Mission Victorian,4843181,Nancy
2077982,NOPA garden apartment,10501924,Karen
2105840,Room w/priv. bath & kitchen in Vintage Apartment,10729940,Claudia
2111361,Civic Center Studio With Parking,10764661,Carlos
2115503,Ocean Beach - Kelly's Cove,10785430,Ant
2123469,Cozy Giants Room @Golden Gate Park,10829039,Viviane
2124182,Modern Cottage perfect for work trip or long stay,2993648,Eduardo
2130640,Family & Kids Friendly Spacious 3BR/2BA Victorian,10870100,Choon Hong
2134475,"Scenic San Francisco, Free Parking, Breakfast",10891326,Sandor
2135871,Nice Clean Furnished Room - Single Occupency,4191595,Lawrence
2139562,PARADISE AT SAN FRANCISCO,8037793,Rebeca O
2166428,Sunny 1BR Apt in Haight-Ashbury,10934623,Thien-Nga Thi
2175930,Garden Apt in Bernal,11098043,Miegan
2178509,Bernal Heights Architect's Retreat,11111526,Gregg
2182851,Spacious 1BR in Mission Victorian,10135,Jason
2188919,Large 1BR in Mission Victorian,10135,Jason
2188976,Private 1BR in Mission Victorian,10135,Jason
2198399,Roomy 1BR in Mission Victorian,10135,Jason
2203283,Quiet Harbor for your Journey in SF,8146224,Ming
2209751,"Clean, quiet and central w/garden view.",3926041,Jason
2221057,Private Beach Side 2 bedroom,11331176,Blythe
2234256,A quiet sunny  place with a view,11406448,Kurt
2236226,"N Beach/Tel Hill 1-Bed, Office Ready, Views, BBQs",11417078,David
2244652,"N Beach/Tel Hill Studio, Office Ready, Views, BBQs",11417078,David
2257205,"Oasis to relax, Surrounding views, Family friendly",11527863,Louise
2279254,"DONATELLO Hotel room, Union Square",11638127,Dave
2298930,Private Room in Large Cow Hollow Flat,2917099,Alicia
2299196,Great Hayes Valley Studio (#9),3977854,Michael
2310765,Modern Studio in SoMA/Downtown SF,11801205,Thanh
2314849,"Tranquil Marina Studio, Patio & Backyard",11820504,John
2315086,"Pacific Heights, 2 rooms & parking!",11804983,Ronald Milton
2340335,Private Bedroom Near Union Square,11182500,Daniel
2366182,"Elegant, View Property-30 Nite Min-$11,500 a Month",40148,Patricia
2371394,1886 Victorian on a Quiet Street in a great area!,2440054,Pamela
2371573,Pacific Heights Victorian,8634657,Heidi
2374361,Amazing Victorian Flat Noe Valley,12130768,Robin
2404647,Room with a View in Noe Valley,10573209,Audrey
2412158,Spectacular View Home in Noe Valley,12328050,Rae
2432104,"Clean,Cozy, Garden private room",26952,Jennifer
2460904,Modern Jr 1BR/1BA next to Waterfront. 1GB Internet,12583352,Rubeun
2468125,DONATELLO near Moscone and Union Sq,11638127,Dave
2478558,"Donatello hotel, near Moscone/Union Sq, 2 dbl beds",11638127,Dave
2483759,"Centrally-located, Walk Anywhere!",12707660,Rob
2486953,1906 Victorian in Noe Valley!,12726391,Vincent
2518781,Stylish Spacious Garden Master Bedroom w/ en Suite,672097,Christopher Scott
2538807,Safe area. Metro 12 mins to d'town. Park/EV charge,783438,Philip
2558763,Gorgeous New Victorian 2BR 1.5BA,467394,Jeannie
2559297,Modern 2BR condo w/pkg; Centrally-located!,12707660,Rob
2562034,"Walk to SF State, Parking, Quiet Neighborhood",4940456,Christine
2564006,"Big Contemporary Studio - 30 Night Min-$3,000",40148,Patricia
2578122,Sunny Victorian - Garden Guestroom,742560,Brian
2592518,Total Gem Two Bedroom Home,13272223,Daniel
2620371,Prime Location  1 Bedroom Apartment,216682,Jay
2620499,"Spacious home w/ garden, garage, Bay & city views",3010591,Antoni
2636716,Studio Apt- Close to Everything,4437415,Mario
2658295,The Donatello Hotel (Union Square),13309461,Tara
2677273,unique private getaway apartment,13707610,Roy And Patti
2683857,Charming S.F. Home: Perfect for a Couple or Family,224012,Karyn
2694526,Beach Retreat @Golden Gate Park,10829039,Viviane
2702606,Murphy bed in startup office,13830783,David
2709883,Rebbeca Lane SF CA,10043430,Nancy
2723005,"Awesome Location, Great for Business Travelers",14014782,Christina
2736358,Garden Retreat steps from Haight St,8638224,Sara
2738331,1 bdrm Haight Ashbury apt w/ garden 30 to 90 days,14011603,Flip
2739477,Home in the Castro,1783772,Brian
2783251,Russian Hill/ North Beach Garden Apartment,14235899,Ellen B
2802418,Comfortable Room With Private Bathroom,13923854,Gina
2825966,Cole Central Studio!,3071306,Joyce
2890120,Beautiful sunny Victorian home for 4 with yard,899994,James
2910159,Beautiful Apt with garden in Noe Valley,3588642,Ambrish
2912402,Private bedroom & bathroom in modern Bernal flat,1718095,Courtney
2935400,Furnished Studio Short-Term FiDi Garden View,9965793,The Twist
